 format: day,hour,forecast,value  location:60_127 Start : 20160101 
 6,2000,+31,2.000000 
 6,2000,+34,3.000000 
 6,2000,+37,3.000000 
 6,2000,+40,2.000000 
 6,2000,+43,3.000000 
 6,2000,+46,2.000000 
 6,2000,+49,2.000000 
 6,2000,+52,2.000000 
 6,2000,+55,3.000000 
 6,2000,+58,3.000000 
 6,2000,+61,3.000000 
 6,2000,+64,3.000000 
 6,2000,+67,1.000000 
 6,2300,+4,3.000000 
 6,2300,+7,3.000000 
 6,2300,+10,3.000000 
 6,2300,+13,3.000000 
 6,2300,+16,2.000000 
 6,2300,+19,2.000000 
 6,2300,+22,2.000000 
 6,2300,+25,2.000000 
 6,2300,+28,2.000000 
 6,2300,+31,3.000000 
 6,2300,+34,3.000000 
 6,2300,+37,2.000000 
 6,2300,+40,3.000000 
 6,2300,+43,2.000000 
 6,2300,+46,2.000000 
 6,2300,+49,2.000000 
 6,2300,+52,3.000000 
 6,2300,+55,3.000000 
 6,2300,+58,3.000000 
 6,2300,+61,3.000000 
 6,2300,+64,1.000000 
 7,0200,+4,3.000000 
 7,0200,+7,3.000000 
 7,0200,+10,3.000000 
 7,0200,+13,2.000000 
 7,0200,+16,2.000000 
 7,0200,+19,2.000000 
 7,0200,+22,2.000000 
 7,0200,+25,2.000000 
 7,0200,+28,3.000000 
 7,0200,+31,3.000000 
 7,0200,+34,2.000000 
 7,0200,+37,2.000000 
 7,0200,+40,2.000000 
 7,0200,+43,2.000000 
 7,0200,+46,2.000000 
 7,0200,+49,3.000000 
 7,0200,+52,3.000000 
 7,0200,+55,3.000000 
 7,0200,+58,3.000000 
 7,0200,+61,1.000000 
 7,0500,+4,3.000000 
 7,0500,+7,3.000000 
 7,0500,+10,2.000000 
 7,0500,+13,2.000000 
 7,0500,+16,2.000000 
 7,0500,+19,2.000000 
 7,0500,+22,2.000000 
 7,0500,+25,3.000000 
 7,0500,+28,3.000000 
 7,0500,+31,2.000000 
 7,0500,+34,2.000000 
 7,0500,+37,2.000000 
 7,0500,+40,2.000000 
 7,0500,+43,2.000000 
 7,0500,+46,3.000000 
