 format: day,hour,forecast,value  location:60_127 Start : 20150101 
 2,0500,+52,55.000000 
 2,0500,+55,70.000000 
 2,0500,+58,75.000000 
 2,0800,+4,40.000000 
 2,0800,+7,45.000000 
 2,0800,+10,50.000000 
 2,0800,+13,50.000000 
 2,0800,+16,50.000000 
 2,0800,+19,40.000000 
 2,0800,+22,45.000000 
 2,0800,+25,55.000000 
 2,0800,+28,65.000000 
 2,0800,+31,65.000000 
 2,0800,+34,70.000000 
 2,0800,+37,70.000000 
 2,0800,+40,70.000000 
 2,0800,+43,55.000000 
 2,0800,+46,40.000000 
 2,0800,+49,55.000000 
 2,0800,+52,65.000000 
 2,0800,+55,70.000000 
 2,1100,+4,45.000000 
 2,1100,+7,50.000000 
 2,1100,+10,50.000000 
 2,1100,+13,50.000000 
 2,1100,+16,40.000000 
 2,1100,+19,45.000000 
 2,1100,+22,55.000000 
 2,1100,+25,65.000000 
 2,1100,+28,65.000000 
 2,1100,+31,70.000000 
 2,1100,+34,70.000000 
 2,1100,+37,65.000000 
 2,1100,+40,55.000000 
 2,1100,+43,40.000000 
 2,1100,+46,55.000000 
 2,1100,+49,65.000000 
 2,1100,+52,70.000000 
 2,1400,+4,50.000000 
 2,1400,+7,50.000000 
 2,1400,+10,50.000000 
 2,1400,+13,40.000000 
 2,1400,+16,45.000000 
 2,1400,+19,55.000000 
 2,1400,+22,65.000000 
 2,1400,+25,65.000000 
 2,1400,+28,70.000000 
 2,1400,+31,70.000000 
 2,1400,+34,65.000000 
 2,1400,+37,55.000000 
 2,1400,+40,40.000000 
 2,1400,+43,55.000000 
 2,1400,+46,65.000000 
 2,1400,+49,70.000000 
 2,1700,+4,55.000000 
 2,1700,+7,50.000000 
 2,1700,+10,40.000000 
 2,1700,+13,45.000000 
 2,1700,+16,55.000000 
 2,1700,+19,65.000000 
 2,1700,+22,65.000000 
 2,1700,+25,70.000000 
 2,1700,+28,70.000000 
 2,1700,+31,65.000000 
 2,1700,+34,55.000000 
 2,1700,+37,40.000000 
 2,1700,+40,55.000000 
 2,1700,+43,65.000000 
 2,1700,+46,70.000000 
 2,2000,+4,50.000000 
 2,2000,+7,40.000000 
 2,2000,+10,40.000000 
 2,2000,+13,55.000000 
 2,2000,+16,60.000000 
 2,2000,+19,70.000000 
 2,2000,+22,70.000000 
 2,2000,+25,75.000000 
 2,2000,+28,70.000000 
 2,2000,+31,60.000000 
 2,2000,+34,40.000000 
 2,2000,+37,50.000000 
