 format: day,hour,forecast,value  location:60_127 Start : 20170101 
 1,0200,+4,155.000000 
 1,0200,+7,130.000000 
 1,0200,+10,129.000000 
 1,0200,+13,141.000000 
 1,0200,+16,165.000000 
 1,0200,+19,180.000000 
 1,0200,+22,223.000000 
 1,0200,+25,272.000000 
 1,0200,+28,278.000000 
 1,0200,+31,293.000000 
 1,0200,+34,298.000000 
 1,0200,+37,297.000000 
 1,0200,+40,270.000000 
 1,0200,+43,222.000000 
 1,0200,+46,198.000000 
 1,0200,+49,277.000000 
 1,0200,+52,256.000000 
 1,0200,+55,225.000000 
 1,0200,+58,178.000000 
 1,0200,+61,215.000000 
 1,0500,+4,130.000000 
 1,0500,+7,129.000000 
 1,0500,+10,141.000000 
 1,0500,+13,165.000000 
 1,0500,+16,180.000000 
 1,0500,+19,223.000000 
 1,0500,+22,272.000000 
 1,0500,+25,278.000000 
 1,0500,+28,293.000000 
 1,0500,+31,298.000000 
 1,0500,+34,297.000000 
 1,0500,+37,270.000000 
 1,0500,+40,222.000000 
 1,0500,+43,198.000000 
 1,0500,+46,277.000000 
 1,0500,+49,256.000000 
 1,0500,+52,225.000000 
 1,0500,+55,178.000000 
 1,0500,+58,215.000000 
 1,0800,+4,129.000000 
 1,0800,+7,141.000000 
 1,0800,+10,165.000000 
 1,0800,+13,180.000000 
 1,0800,+16,223.000000 
 1,0800,+19,272.000000 
 1,0800,+22,278.000000 
 1,0800,+25,293.000000 
 1,0800,+28,298.000000 
 1,0800,+31,297.000000 
 1,0800,+34,270.000000 
 1,0800,+37,222.000000 
 1,0800,+40,198.000000 
 1,0800,+43,277.000000 
 1,0800,+46,256.000000 
 1,0800,+49,225.000000 
 1,0800,+52,178.000000 
 1,0800,+55,215.000000 
 1,1100,+4,141.000000 
 1,1100,+7,165.000000 
 1,1100,+10,180.000000 
 1,1100,+13,223.000000 
 1,1100,+16,272.000000 
 1,1100,+19,278.000000 
 1,1100,+22,293.000000 
 1,1100,+25,298.000000 
 1,1100,+28,297.000000 
 1,1100,+31,270.000000 
 1,1100,+34,222.000000 
 1,1100,+37,198.000000 
 1,1100,+40,277.000000 
 1,1100,+43,256.000000 
 1,1100,+46,225.000000 
 1,1100,+49,178.000000 
 1,1100,+52,215.000000 
 1,1400,+4,165.000000 
 1,1400,+7,180.000000 
 1,1400,+10,223.000000 
 1,1400,+13,272.000000 
 1,1400,+16,278.000000 
 1,1400,+19,293.000000 
 1,1400,+22,298.000000 
 1,1400,+25,297.000000 
 1,1400,+28,270.000000 
 1,1400,+31,222.000000 
 1,1400,+34,198.000000 
 1,1400,+37,277.000000 
 1,1400,+40,256.000000 
 1,1400,+43,225.000000 
 1,1400,+46,178.000000 
 1,1400,+49,215.000000 
 1,1700,+4,180.000000 
 1,1700,+7,223.000000 
 1,1700,+10,272.000000 
 1,1700,+13,278.000000 
 1,1700,+16,293.000000 
 1,1700,+19,298.000000 
 1,1700,+22,297.000000 
 1,1700,+25,270.000000 
 1,1700,+28,222.000000 
 1,1700,+31,198.000000 
 1,1700,+34,277.000000 
 1,1700,+37,256.000000 
 1,1700,+40,225.000000 
 1,1700,+43,178.000000 
 1,1700,+46,215.000000 
 1,2000,+4,148.000000 
 1,2000,+7,222.000000 
 1,2000,+10,281.000000 
 1,2000,+13,277.000000 
 1,2000,+16,299.000000 
 1,2000,+19,294.000000 
 1,2000,+22,279.000000 
 1,2000,+25,213.000000 
 1,2000,+28,175.000000 
 1,2000,+31,172.000000 
 1,2000,+34,231.000000 
 1,2000,+37,224.000000 
