 format: day,hour,forecast,value  location:60_127 Start : 20170101 
 1,0200,+4,60.000000 
 1,0200,+7,65.000000 
 1,0200,+10,75.000000 
 1,0200,+13,80.000000 
 1,0200,+16,85.000000 
 1,0200,+19,85.000000 
 1,0200,+22,80.000000 
 1,0200,+25,70.000000 
 1,0200,+28,55.000000 
 1,0200,+31,60.000000 
 1,0200,+34,65.000000 
 1,0200,+37,70.000000 
 1,0200,+40,75.000000 
 1,0200,+43,75.000000 
 1,0200,+46,70.000000 
 1,0200,+49,50.000000 
 1,0200,+52,45.000000 
 1,0200,+55,60.000000 
 1,0200,+58,70.000000 
 1,0200,+61,75.000000 
 1,0500,+4,65.000000 
 1,0500,+7,75.000000 
 1,0500,+10,80.000000 
 1,0500,+13,85.000000 
 1,0500,+16,85.000000 
 1,0500,+19,80.000000 
 1,0500,+22,70.000000 
 1,0500,+25,55.000000 
 1,0500,+28,60.000000 
 1,0500,+31,65.000000 
 1,0500,+34,70.000000 
 1,0500,+37,75.000000 
 1,0500,+40,75.000000 
 1,0500,+43,70.000000 
 1,0500,+46,50.000000 
 1,0500,+49,45.000000 
 1,0500,+52,60.000000 
 1,0500,+55,70.000000 
 1,0500,+58,75.000000 
 1,0800,+4,75.000000 
 1,0800,+7,80.000000 
 1,0800,+10,85.000000 
 1,0800,+13,85.000000 
 1,0800,+16,80.000000 
 1,0800,+19,70.000000 
 1,0800,+22,55.000000 
 1,0800,+25,50.000000 
 1,0800,+28,55.000000 
 1,0800,+31,60.000000 
 1,0800,+34,65.000000 
 1,0800,+37,65.000000 
 1,0800,+40,60.000000 
 1,0800,+43,40.000000 
 1,0800,+46,35.000000 
 1,0800,+49,45.000000 
 1,0800,+52,60.000000 
 1,0800,+55,70.000000 
 1,1100,+4,80.000000 
 1,1100,+7,85.000000 
 1,1100,+10,85.000000 
 1,1100,+13,80.000000 
 1,1100,+16,70.000000 
 1,1100,+19,55.000000 
 1,1100,+22,50.000000 
 1,1100,+25,55.000000 
 1,1100,+28,60.000000 
 1,1100,+31,65.000000 
 1,1100,+34,65.000000 
 1,1100,+37,60.000000 
 1,1100,+40,40.000000 
 1,1100,+43,35.000000 
 1,1100,+46,45.000000 
 1,1100,+49,60.000000 
 1,1100,+52,70.000000 
 1,1400,+4,85.000000 
 1,1400,+7,85.000000 
 1,1400,+10,80.000000 
 1,1400,+13,70.000000 
 1,1400,+16,55.000000 
 1,1400,+19,50.000000 
 1,1400,+22,55.000000 
 1,1400,+25,60.000000 
 1,1400,+28,65.000000 
 1,1400,+31,65.000000 
 1,1400,+34,60.000000 
 1,1400,+37,40.000000 
 1,1400,+40,35.000000 
 1,1400,+43,45.000000 
 1,1400,+46,60.000000 
 1,1400,+49,70.000000 
 1,1700,+4,85.000000 
 1,1700,+7,80.000000 
 1,1700,+10,70.000000 
 1,1700,+13,55.000000 
 1,1700,+16,50.000000 
 1,1700,+19,55.000000 
 1,1700,+22,60.000000 
 1,1700,+25,65.000000 
 1,1700,+28,65.000000 
 1,1700,+31,60.000000 
 1,1700,+34,40.000000 
 1,1700,+37,35.000000 
 1,1700,+40,45.000000 
 1,1700,+43,60.000000 
 1,1700,+46,70.000000 
 1,2000,+4,80.000000 
 1,2000,+7,75.000000 
 1,2000,+10,70.000000 
 1,2000,+13,60.000000 
 1,2000,+16,55.000000 
 1,2000,+19,60.000000 
 1,2000,+22,65.000000 
 1,2000,+25,70.000000 
 1,2000,+28,65.000000 
 1,2000,+31,45.000000 
 1,2000,+34,35.000000 
 1,2000,+37,50.000000 
 1,2000,+40,60.000000 
 1,2000,+43,75.000000 
 1,2000,+46,80.000000 
 1,2000,+49,80.000000 
 1,2000,+52,65.000000 
 1,2000,+55,45.000000 
 1,2000,+58,35.000000 
 1,2000,+61,40.000000 
 1,2000,+64,50.000000 
 1,2000,+67,55.000000 
 1,2300,+4,75.000000 
 1,2300,+7,70.000000 
 1,2300,+10,60.000000 
 1,2300,+13,55.000000 
 1,2300,+16,60.000000 
 1,2300,+19,65.000000 
 1,2300,+22,70.000000 
 1,2300,+25,65.000000 
 1,2300,+28,45.000000 
 1,2300,+31,35.000000 
 1,2300,+34,50.000000 
 1,2300,+37,60.000000 
 1,2300,+40,75.000000 
 1,2300,+43,80.000000 
 1,2300,+46,80.000000 
 1,2300,+49,65.000000 
 1,2300,+52,45.000000 
 1,2300,+55,35.000000 
 1,2300,+58,40.000000 
 1,2300,+61,50.000000 
 1,2300,+64,55.000000 
 2,0200,+4,70.000000 
 2,0200,+7,60.000000 
 2,0200,+10,55.000000 
 2,0200,+13,60.000000 
 2,0200,+16,65.000000 
