 format: day,hour,forecast,value  location:60_127 Start : 20150101 
 2,0800,+49,4.000000 
 2,0800,+52,3.000000 
 2,0800,+55,2.000000 
 2,1100,+4,-6.000000 
 2,1100,+7,-7.000000 
 2,1100,+10,-8.000000 
 2,1100,+13,-7.000000 
 2,1100,+16,-2.000000 
 2,1100,+19,2.000000 
 2,1100,+22,0.000000 
 2,1100,+25,0.000000 
 2,1100,+28,0.000000 
 2,1100,+31,0.000000 
 2,1100,+34,0.000000 
 2,1100,+37,2.000000 
 2,1100,+40,5.000000 
 2,1100,+43,7.000000 
 2,1100,+46,4.000000 
 2,1100,+49,3.000000 
 2,1100,+52,2.000000 
 2,1400,+4,-7.000000 
 2,1400,+7,-8.000000 
 2,1400,+10,-7.000000 
 2,1400,+13,-2.000000 
 2,1400,+16,2.000000 
 2,1400,+19,1.000000 
 2,1400,+22,0.000000 
 2,1400,+25,1.000000 
 2,1400,+28,0.000000 
 2,1400,+31,0.000000 
 2,1400,+34,2.000000 
 2,1400,+37,5.000000 
 2,1400,+40,7.000000 
 2,1400,+43,4.000000 
 2,1400,+46,3.000000 
 2,1400,+49,2.000000 
 2,1700,+4,-8.000000 
 2,1700,+7,-7.000000 
 2,1700,+10,-2.000000 
 2,1700,+13,2.000000 
 2,1700,+16,1.000000 
 2,1700,+19,0.000000 
 2,1700,+22,1.000000 
 2,1700,+25,0.000000 
 2,1700,+28,0.000000 
 2,1700,+31,2.000000 
 2,1700,+34,5.000000 
 2,1700,+37,7.000000 
 2,1700,+40,4.000000 
 2,1700,+43,3.000000 
 2,1700,+46,2.000000 
 2,2000,+4,-7.000000 
 2,2000,+7,-2.000000 
 2,2000,+10,1.000000 
 2,2000,+13,0.000000 
 2,2000,+16,0.000000 
 2,2000,+19,1.000000 
 2,2000,+22,0.000000 
 2,2000,+25,0.000000 
 2,2000,+28,1.000000 
 2,2000,+31,5.000000 
 2,2000,+34,7.000000 
 2,2000,+37,4.000000 
 2,2000,+40,2.000000 
 2,2000,+43,1.000000 
 2,2000,+46,0.000000 
 2,2000,+49,-1.000000 
 2,2000,+52,1.000000 
 2,2000,+55,5.000000 
 2,2000,+58,6.000000 
 2,2000,+61,5.000000 
 2,2000,+64,4.000000 
 2,2000,+67,3.000000 
 2,2300,+4,-2.000000 
 2,2300,+7,1.000000 
 2,2300,+10,0.000000 
 2,2300,+13,0.000000 
 2,2300,+16,1.000000 
 2,2300,+19,0.000000 
 2,2300,+22,0.000000 
 2,2300,+25,1.000000 
 2,2300,+28,5.000000 
 2,2300,+31,7.000000 
 2,2300,+34,4.000000 
 2,2300,+37,2.000000 
 2,2300,+40,1.000000 
 2,2300,+43,0.000000 
 2,2300,+46,-1.000000 
 2,2300,+49,1.000000 
 2,2300,+52,5.000000 
 2,2300,+55,6.000000 
 2,2300,+58,5.000000 
 2,2300,+61,4.000000 
 2,2300,+64,3.000000 
 3,0200,+4,1.000000 
 3,0200,+7,0.000000 
 3,0200,+10,0.000000 
 3,0200,+13,1.000000 
 3,0200,+16,0.000000 
 3,0200,+19,0.000000 
 3,0200,+22,1.000000 
 3,0200,+25,5.000000 
 3,0200,+28,7.000000 
 3,0200,+31,4.000000 
 3,0200,+34,2.000000 
 3,0200,+37,1.000000 
 3,0200,+40,0.000000 
 3,0200,+43,-1.000000 
 3,0200,+46,1.000000 
 3,0200,+49,5.000000 
 3,0200,+52,6.000000 
 3,0200,+55,5.000000 
 3,0200,+58,4.000000 
 3,0200,+61,3.000000 
 3,0500,+4,0.000000 
 3,0500,+7,0.000000 
 3,0500,+10,1.000000 
 3,0500,+13,0.000000 
 3,0500,+16,0.000000 
 3,0500,+19,1.000000 
 3,0500,+22,5.000000 
 3,0500,+25,7.000000 
 3,0500,+28,4.000000 
 3,0500,+31,2.000000 
 3,0500,+34,1.000000 
 3,0500,+37,0.000000 
 3,0500,+40,-1.000000 
 3,0500,+43,1.000000 
 3,0500,+46,5.000000 
 3,0500,+49,6.000000 
 3,0500,+52,5.000000 
 3,0500,+55,4.000000 
 3,0500,+58,3.000000 
 3,0800,+4,0.000000 
 3,0800,+7,0.000000 
 3,0800,+10,0.000000 
 3,0800,+13,0.000000 
 3,0800,+16,2.000000 
 3,0800,+19,5.000000 
 3,0800,+22,7.000000 
 3,0800,+25,4.000000 
 3,0800,+28,3.000000 
 3,0800,+31,2.000000 
 3,0800,+34,0.000000 
 3,0800,+37,-1.000000 
 3,0800,+40,1.000000 
 3,0800,+43,5.000000 
 3,0800,+46,6.000000 
 3,0800,+49,5.000000 
 3,0800,+52,4.000000 
 3,0800,+55,3.000000 
 3,1100,+4,0.000000 
 3,1100,+7,0.000000 
 3,1100,+10,0.000000 
 3,1100,+13,2.000000 
 3,1100,+16,5.000000 
 3,1100,+19,7.000000 
 3,1100,+22,4.000000 
 3,1100,+25,3.000000 
 3,1100,+28,2.000000 
 3,1100,+31,0.000000 
 3,1100,+34,-1.000000 
 3,1100,+37,1.000000 
 3,1100,+40,5.000000 
 3,1100,+43,6.000000 
 3,1100,+46,5.000000 
 3,1100,+49,4.000000 
 3,1100,+52,3.000000 
 3,1400,+4,0.000000 
 3,1400,+7,0.000000 
 3,1400,+10,2.000000 
 3,1400,+13,5.000000 
 3,1400,+16,7.000000 
 3,1400,+19,4.000000 
 3,1400,+22,3.000000 
 3,1400,+25,2.000000 
 3,1400,+28,0.000000 
 3,1400,+31,-1.000000 
 3,1400,+34,1.000000 
 3,1400,+37,5.000000 
 3,1400,+40,6.000000 
 3,1400,+43,5.000000 
 3,1400,+46,4.000000 
 3,1400,+49,3.000000 
 3,1700,+4,0.000000 
 3,1700,+7,2.000000 
 3,1700,+10,5.000000 
 3,1700,+13,7.000000 
 3,1700,+16,4.000000 
 3,1700,+19,3.000000 
 3,1700,+22,2.000000 
 3,1700,+25,0.000000 
 3,1700,+28,-1.000000 
 3,1700,+31,1.000000 
 3,1700,+34,5.000000 
 3,1700,+37,6.000000 
 3,1700,+40,5.000000 
 3,1700,+43,4.000000 
 3,1700,+46,3.000000 
 3,2000,+4,2.000000 
 3,2000,+7,5.000000 
 3,2000,+10,7.000000 
 3,2000,+13,4.000000 
 3,2000,+16,3.000000 
 3,2000,+19,2.000000 
 3,2000,+22,0.000000 
 3,2000,+25,0.000000 
 3,2000,+28,2.000000 
 3,2000,+31,5.000000 
 3,2000,+34,6.000000 
 3,2000,+37,5.000000 
 3,2000,+40,4.000000 
 3,2000,+43,3.000000 
 3,2000,+46,3.000000 
 3,2000,+49,1.000000 
 3,2000,+52,-3.000000 
 3,2000,+55,-2.000000 
 3,2000,+58,-1.000000 
 3,2000,+61,-4.000000 
 3,2000,+64,-5.000000 
 3,2000,+67,-6.000000 
 3,2300,+4,5.000000 
 3,2300,+7,7.000000 
 3,2300,+10,4.000000 
 3,2300,+13,3.000000 
 3,2300,+16,2.000000 
 3,2300,+19,0.000000 
 3,2300,+22,0.000000 
 3,2300,+25,2.000000 
 3,2300,+28,5.000000 
 3,2300,+31,6.000000 
 3,2300,+34,5.000000 
 3,2300,+37,4.000000 
 3,2300,+40,3.000000 
 3,2300,+43,3.000000 
 3,2300,+46,1.000000 
 3,2300,+49,-3.000000 
 3,2300,+52,-2.000000 
 3,2300,+55,-1.000000 
 3,2300,+58,-4.000000 
 3,2300,+61,-5.000000 
 3,2300,+64,-6.000000 
 4,0200,+4,7.000000 
 4,0200,+7,4.000000 
 4,0200,+10,3.000000 
 4,0200,+13,2.000000 
 4,0200,+16,0.000000 
 4,0200,+19,0.000000 
 4,0200,+22,2.000000 
 4,0200,+25,5.000000 
 4,0200,+28,6.000000 
 4,0200,+31,5.000000 
 4,0200,+34,4.000000 
 4,0200,+37,3.000000 
 4,0200,+40,3.000000 
 4,0200,+43,1.000000 
 4,0200,+46,-3.000000 
 4,0200,+49,-2.000000 
 4,0200,+52,-1.000000 
 4,0200,+55,-4.000000 
 4,0200,+58,-5.000000 
 4,0200,+61,-6.000000 
 4,0500,+4,4.000000 
 4,0500,+7,3.000000 
 4,0500,+10,2.000000 
 4,0500,+13,0.000000 
 4,0500,+16,0.000000 
 4,0500,+19,2.000000 
 4,0500,+22,5.000000 
 4,0500,+25,6.000000 
 4,0500,+28,5.000000 
 4,0500,+31,4.000000 
 4,0500,+34,3.000000 
 4,0500,+37,3.000000 
 4,0500,+40,1.000000 
 4,0500,+43,-3.000000 
 4,0500,+46,-2.000000 
 4,0500,+49,-1.000000 
 4,0500,+52,-4.000000 
 4,0500,+55,-5.000000 
 4,0500,+58,-6.000000 
 4,0800,+4,3.000000 
 4,0800,+7,2.000000 
 4,0800,+10,0.000000 
 4,0800,+13,0.000000 
 4,0800,+16,2.000000 
 4,0800,+19,5.000000 
 4,0800,+22,6.000000 
 4,0800,+25,5.000000 
 4,0800,+28,4.000000 
 4,0800,+31,3.000000 
 4,0800,+34,2.000000 
 4,0800,+37,0.000000 
 4,0800,+40,-3.000000 
 4,0800,+43,-2.000000 
 4,0800,+46,-1.000000 
 4,0800,+49,-4.000000 
 4,0800,+52,-5.000000 
 4,0800,+55,-6.000000 
 4,1100,+4,2.000000 
 4,1100,+7,0.000000 
 4,1100,+10,0.000000 
 4,1100,+13,2.000000 
 4,1100,+16,5.000000 
 4,1100,+19,6.000000 
 4,1100,+22,5.000000 
 4,1100,+25,4.000000 
 4,1100,+28,3.000000 
 4,1100,+31,2.000000 
 4,1100,+34,0.000000 
 4,1100,+37,-3.000000 
 4,1100,+40,-2.000000 
 4,1100,+43,-1.000000 
 4,1100,+46,-4.000000 
 4,1100,+49,-5.000000 
