A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/5.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/5.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,1/1/2015 0:00,2015,1,1,0,37,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 1:00,2015,1,1,1,26,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 2:00,2015,1,1,2,30,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 3:00,2015,1,1,3,26,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 4:00,2015,1,1,4,33,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 5:00,2015,1,1,5,33,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 6:00,2015,1,1,6,39,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 7:00,2015,1,1,7,36,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 8:00,2015,1,1,8,33,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 9:00,2015,1,1,9,41,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 10:00,2015,1,1,10,59,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 11:00,2015,1,1,11,45,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 12:00,2015,1,1,12,40,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 13:00,2015,1,1,13,35,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 14:00,2015,1,1,14,36,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 15:00,2015,1,1,15,26,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 16:00,2015,1,1,16,46,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 17:00,2015,1,1,17,52,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 18:00,2015,1,1,18,48,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 19:00,2015,1,1,19,49,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 20:00,2015,1,1,20,51,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 21:00,2015,1,1,21,56,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 22:00,2015,1,1,22,55,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2015 23:00,2015,1,1,23,46,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 0:00,2015,1,2,0,49,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 1:00,2015,1,2,1,56,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 2:00,2015,1,2,2,68,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 3:00,2015,1,2,3,83,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 4:00,2015,1,2,4,73,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 5:00,2015,1,2,5,66,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 6:00,2015,1,2,6,70,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 7:00,2015,1,2,7,50,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 8:00,2015,1,2,8,42,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 9:00,2015,1,2,9,37,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 10:00,2015,1,2,10,35,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 11:00,2015,1,2,11,46,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 12:00,2015,1,2,12,46,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 13:00,2015,1,2,13,45,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 14:00,2015,1,2,14,37,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 15:00,2015,1,2,15,30,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 16:00,2015,1,2,16,31,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 17:00,2015,1,2,17,47,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 18:00,2015,1,2,18,45,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 19:00,2015,1,2,19,51,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 20:00,2015,1,2,20,51,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 21:00,2015,1,2,21,50,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 22:00,2015,1,2,22,47,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2015 23:00,2015,1,2,23,49,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 0:00,2015,1,3,0,63,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 1:00,2015,1,3,1,80,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 2:00,2015,1,3,2,92,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 3:00,2015,1,3,3,85,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 4:00,2015,1,3,4,91,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 5:00,2015,1,3,5,36,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 6:00,2015,1,3,6,34,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 7:00,2015,1,3,7,32,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 8:00,2015,1,3,8,39,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 9:00,2015,1,3,9,41,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 10:00,2015,1,3,10,33,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 11:00,2015,1,3,11,28,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 12:00,2015,1,3,12,25,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2015 13:00,2015,1,3,13,26,µg/m³,1 Hr,Valid
