A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/5.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/5.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,1/1/2016 0:00,2016,1,1,0,218,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 1:00,2016,1,1,1,170,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 2:00,2016,1,1,2,93,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 3:00,2016,1,1,3,83,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 4:00,2016,1,1,4,97,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 5:00,2016,1,1,5,105,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 6:00,2016,1,1,6,128,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 7:00,2016,1,1,7,134,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 8:00,2016,1,1,8,129,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 9:00,2016,1,1,9,128,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 10:00,2016,1,1,10,114,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 11:00,2016,1,1,11,118,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 12:00,2016,1,1,12,116,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 13:00,2016,1,1,13,120,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 14:00,2016,1,1,14,131,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 15:00,2016,1,1,15,122,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 16:00,2016,1,1,16,125,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 17:00,2016,1,1,17,107,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 18:00,2016,1,1,18,113,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 19:00,2016,1,1,19,129,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 20:00,2016,1,1,20,119,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 21:00,2016,1,1,21,119,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 22:00,2016,1,1,22,137,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/1/2016 23:00,2016,1,1,23,156,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 0:00,2016,1,2,0,156,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 1:00,2016,1,2,1,152,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 2:00,2016,1,2,2,160,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 3:00,2016,1,2,3,149,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 4:00,2016,1,2,4,145,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 5:00,2016,1,2,5,163,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 6:00,2016,1,2,6,184,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 7:00,2016,1,2,7,199,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 8:00,2016,1,2,8,170,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 9:00,2016,1,2,9,113,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 10:00,2016,1,2,10,129,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 11:00,2016,1,2,11,142,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 12:00,2016,1,2,12,124,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 13:00,2016,1,2,13,142,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 14:00,2016,1,2,14,148,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 15:00,2016,1,2,15,116,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 16:00,2016,1,2,16,129,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 17:00,2016,1,2,17,180,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 18:00,2016,1,2,18,151,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 19:00,2016,1,2,19,132,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 20:00,2016,1,2,20,132,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 21:00,2016,1,2,21,122,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 22:00,2016,1,2,22,132,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/2/2016 23:00,2016,1,2,23,142,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 0:00,2016,1,3,0,135,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 1:00,2016,1,3,1,114,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 2:00,2016,1,3,2,112,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 3:00,2016,1,3,3,113,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 4:00,2016,1,3,4,114,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 5:00,2016,1,3,5,119,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 6:00,2016,1,3,6,112,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 7:00,2016,1,3,7,112,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 8:00,2016,1,3,8,107,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 9:00,2016,1,3,9,95,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 10:00,2016,1,3,10,119,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 11:00,2016,1,3,11,102,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 12:00,2016,1,3,12,130,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 13:00,2016,1,3,13,63,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/3/2016 14:00,2016,1,3,14,60,µg/m³,1 Hr,Valid
